sID,sFeedback
AD00,균형이 잘 잡혀 있고 안정적인 어드레스 자세예요!
AD01,어깨를 왼쪽으로 기울여 주세요.
AD02,어깨를 오른쪽으로 기울여 주세요.
AD03,그립을 왼쪽 허벅지 안쪽으로 위치해 주세요.
AD04,그립을 왼쪽 허벅지 안쪽으로 위치해 주세요.
AD05,허리를 너무 숙이지 말아주세요.
AD06,상체를 살짝 숙여 편안한 자세를 만들어 주세요.
AD07,무릎을 살짝 펴 주세요.
AD08,무릎을 살짝 더 구부려 주세요.
TB00,자연스럽고 부드럽게 진행되면서 흐름이 좋은 테이크백이에요!
TB01,오른팔 팔꿈치를 안쪽으로 내려주세요.
TB03,어깨를 왼쪽으로 기울여 주세요.
TB04,어깨를 오른쪽으로 기울여 주세요.
TB05,손목을 돌리지 말고 그대로 유지해 주세요.
TB07,체중을 왼발 쪽으로 이동해 주세요.
TB08,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
BS00,백스윙이 부드럽고 회전이 매끄러워서 아주 안정적이에요!
BS01,오른팔 팔꿈치를 안쪽으로 내려주세요.
BS03,어깨를 왼쪽으로 기울여 주세요.
BS04,어깨를 오른쪽으로 기울여 주세요.
BS05,엉덩이가 타겟을 향하도록 회전해 주세요.
BS06,골반이 너무 많이 돌아가지 않도록 자세를 유지해주세요.
BS07,체중을 왼발 쪽으로 이동해 주세요.
BS08,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
TP00,탑 자세가 안정적이고 자연스러워요!
TP01,상체를 더 돌려주세요.
TP02,상체를 과하게 돌리지 마세요.
TP03,손의 위치를 올려주세요.
TP04,손의 위치를 내려주세요.
TP05,오른팔 팔꿈치를 내려주세요.
TP07,체중을 왼발 쪽으로 이동해 주세요.
TP08,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
DS00,체중 이동과 회전이 연결되면서 좋은 다운스윙이에요!
DS01,상체를 열지마세요.
DS02,
DS03,손을 몸쪽으로 당겨주세요.
DS04,손과 몸의 간격을 살짝 넓혀주세요.
DS05,상체가 너무 기울지 않게 해 주세요.
DS06,상체가 너무 기울지 않게 해 주세요.
DS07,체중을 왼발 쪽으로 이동해 주세요.
DS08,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
IP00,이상적인 임팩트 자세로 중심이 잘 유지되고 있어요!
IP01,머리가 앞으로 움직이지 않게 해 주세요.
IP02,머리가 앞으로 움직이지 않게 해 주세요.
IP03,왼팔을 살짝 펴 주세요.
IP04,오른팔을 살짝 접어 주세요.
IP05,체중을 왼발 쪽으로 이동해 주세요.
IP06,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
FL00,팔과 척추 각도가 안정적으로 유지되면서 스윙이 깔끔해요!
FL01,체중을 왼발 쪽으로 이동해 주세요.
FL02,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.
FL03,양팔을 펴 주세요.
FL04,양팔을 펴 주세요.
FS00,균형이 잘 맞고 마무리가 깔끔해서 완벽한 피니시예요!
FS01,체중을 왼발 쪽으로 이동해 주세요.
FS02,체중을 오른발 쪽으로 옮겨 균형을 맞춰 주세요.